Date,Society 1,Society 2,Area,Zone,Week Number,Standard,Flat Count
To be decided,Armada,Armada,Wakad,West,To be decided,Medium,250
To be decided,Siddhivinayak Manas,Siddhivinayak Manas,Dhayari,South,To be decided,Medium,200
To be decided,Granduere,Granduere,Dhayari,South,To be decided,Medium,250
To be decided,Godrej Infinity,Godrej Infinity,Keshavnagar,East,To be decided,Angel,1200
To be decided,Vihana,Vihana,Keshavnagar,East,To be decided,Medium,200
To be decided,Shivnagri,Shivnagri,Kothrud,Central,To be decided,Medium,200
To be decided,Sarita Vihar,Sarita Vihar,Sinhagad road,Central,To be decided,Medium,170
To be decided,Suvarna Rekha Shree,Suvarna Rekha Shree,Sinhagad road,Central,To be decided,Medium,170
To be decided,Sun Fantasy,Sun Fantasy,Ambegaon,South,To be decided,Medium,150
To be decided,Shweta Soc,Shweta Soc,Sinhagad road,Central,To be decided,Medium,100
To be decided,Tirupati Campus,Tirupati Campus,Tingrenagar,North,To be decided,Medium,200
